,Unnamed: 0,f_khz,Vt,Vr,Vc,Degree
0,0,10.0,5.0,0.316,5.0,-80.0
1,1,20.0,5.04,0.604,5.0,-74.0
2,2,40.0,5.04,1.2,4.88,-67.7
3,3,60.0,4.98,1.68,4.72,-63.1
4,4,80.0,4.98,2.12,4.52,-57.0
5,5,120.0,5.02,2.87,4.14,-49.0
6,6,140.0,5.06,3.18,3.94,-45.0
7,7,150.0,5.0,3.24,3.8,-43.9
8,8,160.0,5.06,3.42,3.76,-42.0
9,9,170.0,5.0,3.46,3.56,-40.5
10,10,180.0,5.02,3.56,3.48,-38.7
11,11,200.0,5.04,3.8,3.36,-37.6
12,12,300.0,5.0,4.28,2.56,-25.5
13,13,400.0,4.96,4.56,2.08,-19.5
14,14,500.0,5.02,4.74,1.76,-15.5
15,15,600.0,4.98,4.76,1.52,-13.0
16,16,700.0,5.0,4.84,1.36,-11.6
