,f_hz,Vr,Vl,Vt,Degree
0,1000,4.84,0.56,5.0,5.04
1,2000,4.8,1.04,5.04,10.1
2,3000,4.76,1.44,5.0,14.3
3,4000,4.64,1.76,5.08,19.0
4,5000,4.48,2.16,5.0,23.8
5,6000,4.36,2.48,5.04,27.6
6,7000,4.16,2.72,5.0,29.3
7,8000,4.04,2.96,5.08,34.0
8,9000,3.84,3.28,5.04,35.7
9,10000,3.72,3.44,5.08,38.2
10,11000,3.56,3.6,5.04,40.4
11,12000,3.36,3.68,4.96,43.2
12,14000,3.12,4.0,5.04,47.4
13,18000,2.6,4.32,5.04,53.2
14,20000,2.44,4.48,5.04,55.4
15,23000,2.2,4.56,5.0,57.4
16,26000,1.98,4.68,5.04,60.9
17,29000,1.8,4.8,5.04,63.6
18,40000,1.36,4.88,5.04,68.2
19,60000,0.944,5.04,5.08,73.0
20,80000,0.696,5.0,5.04,76.0
21,100000,0.56,5.08,5.04,78.5
