f_hz,Vr,Vl,Vt,Degree
1000,4.84,0.560,5.00,5.04
2000,4.8,1.04,5.04,10.1
3000,4.76,1.44,5.00,14.3
4000,4.64,1.76,5.08,19.0
5000,4.48,2.16,5.00,23.8
6000,4.36,2.48,5.04,27.6
7000,4.16,2.72,5.00,29.3
8000,4.04,2.96,5.08,34.0
9000,3.84,3.28,5.04,35.7
10000,3.72,3.44,5.08,38.2
11000,3.56,3.60,5.04,40.4
12000,3.36,3.68,4.96,43.2
14000,3.12,4.00,5.04,47.4
18000,2.60,4.32,5.04,53.2
20000,2.44,4.48,5.04,55.4
23000,2.20,4.56,5.00,57.4
26000,1.98,4.68,5.04,60.9
29000,1.80,4.80,5.04,63.6
40000,1.36,4.88,5.04,68.2
60000,0.944,5.04,5.08,73.0
80000,0.696,5.00,5.04,76.0
100000,0.560,5.08,5.04,78.5
10551,3.48,3.44,4.96,40.3
