f_khz,Vr,Vl,Vc,Vt,Degree
10,0.356,0.496,5.4,5,-85.1
12,0.432,0.700,5.56,5,-82
14,0.520,0.984,5.84,5,-80.9
16,0.648,1.36,6.28,5.04,-78.6
18,0.768,1.82,6.64,5.00,-81.4
20,0.912,2.38,7.12,5,-78
22,1.14,3.16,8.00,5,-72.8
24,1.38,4.24,9.04,5,-72.3
25,1.50,4.88,9.60,5,-68.2
26,1.70,5.68,10.4,5,-65.5
27,1.90,6.80,11.3,5.04,-63.0
28,2.16,8,12.2,5,-58
29,2.44,10,14.0,5,-55.1
30,2.74,10.8,15.2,5,-49.7
31,3.18,13.0,17,5,-41.9
32,3.72,16,18.8,5,-34.0
34,4.48,20.6,21.4,5,9.22
36,4.48,21.4,20.2,5.04,16.2
38,3.76,18.5,16.2,5.04,37
40,3.04,16.2,12.6,5.04,50.9
43,2.32,12.8,8.4,5.08,59.8
45,1.9,12,6.88,5,67.7
50,1.42,9.2,4.64,4.06,74.4
60,0.952,7.4,2.6,5.08,78.2
34.845,4.6,21.6,21.6,5,0
