I_n;I_b;I_m
0.003659062;0.00388;0.003872983
0.004390874;0.00472;0.00438178
0.005294877;0.00588;0.005205766
0.006241929;0.00752;0.006760178
0.00718898;0.00912;0.007765307
0.00835127;0.0126;0.010148892
0.00912613;0.0152;0.010677078
0.009987086;0.0202;0.012806248
0.010159277;0.0242;0.013711309
0.010331468;0.0288;0.015716234
0.010589755;0.0352;0.018083141
0.010589755;0.042;0.01954482
0.01067585;0.0468;0.020469489
0.010589755;0.0464;0.021931712
0.010589755;0.0464;0.021023796
0.010331468;0.0408;0.022113344
0.010245372;0.0356;0.023021729
0.00990099;0.0276;0.023388031
0.009298321;0.0212;0.023021729
0.008867843;0.017;0.020832667
0.00835127;0.0148;0.017916473
0.007748601;0.0119;0.016431677
0.007318123;0.0108;0.012961481
0.006284976;0.00864;0.009044335
