source,target,weight
1100015,1100049,1.0
1100015,1100379,1.0
1100015,1101484,1.0
1100015,5107578,1.0
1100023,1100114,2.0
1100023,1100130,1.0
1100023,1100205,3.0
1100023,1100262,3.0
1100023,1100338,1.0
1100023,1100403,9.0
1100023,1100452,2.0
1100023,1100601,2.0
1100023,1100700,2.0
1100023,1100809,1.0
1100023,1100940,1.0
1100023,1101302,2.0
1100023,1101401,2.0
1100031,1100056,1.0
1100031,1100064,4.0
1100031,5103304,2.0
1100049,1100098,1.0
1100049,1100122,1.0
1100049,1100148,1.0
1100049,1100155,2.0
1100049,1100189,14.0
1100049,1100205,2.0
1100049,1100288,4.0
1100049,1100320,2.0
1100049,1101203,9.0
1100049,1101450,1.0
1100049,1101484,1.0
1100056,1100031,1.0
1100056,1100064,7.0
1100056,1100072,5.0
1100056,1100304,3.0
1100056,1101468,3.0
1100056,3550308,1.0
1100056,4101408,1.0
1100056,5103403,1.0
1100064,1100031,1.0
1100064,1100056,3.0
1100064,1100304,5.0
1100064,5002704,1.0
1100064,5100250,1.0
1100064,5106752,2.0
1100072,1100056,2.0
1100072,1100924,1.0
1100098,1100049,3.0
1100098,1100189,6.0
1100106,1100080,1.0
1100106,1100205,5.0
1100106,1100338,1.0
1100106,2105302,1.0
1100106,3550308,1.0
1100114,1100023,1.0
1100114,1100122,3.0
1100114,1100130,1.0
1100114,1100155,1.0
1100114,1100601,2.0
1100114,1101609,6.0
1100114,1101757,1.0
1100122,1100023,1.0
1100122,1100049,3.0
1100122,1100155,9.0
1100122,1100254,6.0
1100122,1100320,1.0
1100122,1101302,1.0
1100122,1101492,1.0
1100122,1101500,1.0
1100122,1101757,1.0
1100122,1200401,1.0
1100122,3104007,1.0
1100122,3200904,1.0
1100122,3202108,1.0
1100122,4109203,1.0
1100122,5101407,1.0
1100122,5107578,1.0
1100122,5300108,1.0
1100130,1100122,2.0
1100148,1100049,1.0
1100148,1100122,1.0
1100148,1100320,2.0
1100148,1100502,1.0
1100148,1100908,1.0
1100155,1100080,1.0
1100155,1100114,5.0
1100155,1100122,5.0
1100155,1100346,1.0
1100155,1101302,1.0
1100155,1101435,1.0
1100155,1101559,2.0
1100155,1101757,1.0
1100155,1101807,3.0
1100189,1100015,1.0
1100189,1100049,6.0
1100189,1100098,4.0
1100189,1100148,1.0
1100189,1100205,1.0
1100189,1100304,1.0
1100189,1100320,1.0
1100189,1100924,6.0
1100189,1101476,6.0
1100189,1101484,1.0
1100189,1400456,1.0
1100205,1100023,5.0
1100205,1100122,3.0
1100205,1100155,1.0
1100205,1100338,1.0
1100205,1100403,2.0
1100205,1100452,2.0
1100205,1100809,14.0
1100205,1101104,1.0
1100205,1200401,2.0
1100205,1200807,1.0
1100205,1301704,2.0
1100205,1302603,3.0
1100205,1600303,1.0
1100205,2211001,1.0
1100205,3524501,2.0
1100205,4314902,1.0
1100205,5008305,1.0
1100205,5103403,1.0
1100205,5205109,1.0
1100205,5208707,1.0
1100254,1100049,2.0
1100254,1100122,12.0
1100254,1100205,2.0
1100254,1100346,2.0
1100262,1100023,4.0
1100262,1100403,1.0
1100262,1100940,1.0
1100288,1100015,3.0
1100288,1100049,5.0
1100288,1100148,1.0
1100288,1100296,1.0
1100288,1100320,1.0
1100288,1100379,1.0
1100288,1100502,7.0
1100288,1101484,2.0
1100288,1200500,1.0
1100288,3552809,1.0
1100296,1100015,3.0
1100296,1100288,8.0
1100296,1100379,2.0
1100296,1101450,1.0
1100296,1101484,5.0
1100304,1100064,4.0
1100304,1100189,1.0
1100304,4311205,1.0
1100304,5103304,3.0
1100320,1100015,1.0
1100320,1100288,1.0
1100320,1101500,1.0
1100338,1100106,3.0
1100338,1100452,1.0
1100346,1100049,2.0
1100346,1100122,1.0
1100346,1100254,1.0
1100346,1100320,4.0
1100346,1101708,2.0
1100379,1100015,2.0
1100379,1100189,2.0
1100379,1100288,1.0
1100379,1100296,1.0
1100379,1100809,1.0
1100403,1100023,4.0
1100403,1100205,2.0
1100403,1100452,1.0
1100403,1100809,3.0
1100403,1100940,1.0
1100452,1100049,2.0
1100452,1100205,1.0
1100452,1100338,1.0
1100502,1100049,1.0
1100502,1100148,6.0
1100502,1100288,4.0
1100502,1100908,3.0
1100601,1100023,3.0
1100601,1100114,1.0
1100700,1100452,5.0
1100700,1101435,1.0
1100809,1100023,2.0
1100809,1100205,385.0
1100809,1100304,1.0
1100809,1101104,1.0
1100809,1101492,1.0
1100908,1100288,2.0
1100924,1100304,1.0
1100940,1100023,1.0
1100940,1100049,1.0
1100940,1100122,1.0
1100940,1101500,1.0
1101005,1100114,4.0
1101005,3205309,1.0
1101104,1100114,1.0
1101104,1100205,1.0
1101104,1100809,2.0
1101104,1100940,1.0
1101203,1100049,7.0
1101203,1100098,1.0
1101203,1100304,1.0
1101302,1100114,1.0
1101302,1100155,1.0
1101302,1101435,7.0
1101302,1101757,1.0
1101401,1100023,6.0
1101401,1100403,1.0
1101401,1100700,1.0
1101401,2504009,1.0
1101435,1100114,1.0
1101435,1100122,1.0
1101435,1100130,1.0
1101435,1100155,5.0
1101435,1100205,2.0
1101435,1100288,1.0
1101435,1100338,1.0
1101435,1100809,1.0
1101435,1101302,6.0
1101435,1101500,1.0
1101435,1101559,1.0
1101450,1100924,1.0
1101450,4106902,1.0
1101468,1100031,1.0
1101468,1100056,3.0
1101476,1100189,12.0
1101476,1100288,2.0
1101476,1100296,3.0
1101476,1101484,5.0
1101476,4201406,1.0
1101484,1100189,7.0
1101484,1100288,4.0
1101484,1100296,27.0
1101484,1101450,1.0
1101484,1101476,4.0
1101492,1100049,1.0
1101492,1100080,1.0
1101492,1100346,1.0
1101492,3512209,1.0
1101500,1100320,2.0
1101559,1100122,1.0
1101559,1100155,3.0
1101559,1101435,2.0
1101559,1101708,2.0
1101609,1100023,1.0
1101609,1100114,6.0
1101609,1101005,1.0
1101708,1100122,1.0
1101708,1100130,1.0
1101708,1100346,4.0
1101708,1101302,1.0
1101708,1101559,4.0
1101757,1100114,1.0
1101757,1100130,3.0
1101757,1101609,2.0
1101807,1100155,6.0
1101807,1101492,1.0
1101807,4128104,1.0
1200013,1200385,1.0
1200013,1200401,3.0
1200104,1200054,2.0
1200104,1200252,17.0
1200104,1200401,2.0
1200104,1200708,1.0
1200138,1200401,82.0
1200179,1100205,1.0
1200179,1200401,5.0
1200179,3141504,1.0
1200179,5004304,1.0
1200203,1200336,7.0
1200203,1200401,4.0
1200203,1200427,3.0
1200203,1301654,10.0
1200203,1302603,1.0
1200252,1200054,1.0
1200252,1200104,69.0
1200252,1200401,1.0
1200252,1200708,2.0
1200252,1300144,1.0
1200252,3301876,2.0
1200302,1200609,1.0
1200336,1200203,13.0
1200336,1200302,1.0
1200336,1200427,3.0
1200344,1200401,1.0
1200344,1200500,2.0
1200344,1302603,1.0
1200385,1200401,8.0
1200393,1200203,1.0
1200401,1100205,1.0
1200401,1200013,2.0
1200401,1200138,4.0
1200401,1200179,1.0
1200401,1200385,3.0
1200401,1200450,13.0
1200401,1200500,7.0
1200401,1200609,1.0
1200401,1200708,3.0
1200401,1200807,4.0
1200401,1300706,7.0
1200401,1301704,1.0
1200401,1302603,1.0
1200401,2611606,2.0
1200401,3526902,1.0
1200401,4106902,1.0
1200427,1200203,5.0
1200450,1200013,1.0
1200450,1200138,2.0
1200450,1200179,8.0
1200450,1200385,2.0
1200450,1200401,125.0
1200450,1200807,2.0
1200500,1200401,2.0
1200500,1300706,1.0
1200609,1200302,1.0
1200807,1200401,31.0
1200807,1200450,2.0
1300029,1301209,1.0
1300029,1302603,2.0
1300029,1304203,1.0
1300060,1304062,1.0
1300102,1302504,2.0
1300102,1302603,7.0
1300144,1100114,1.0
1300144,1301704,1.0
1300144,1503754,1.0
1300144,5107701,1.0
1300201,1300607,3.0
1300300,1302603,4.0
1300508,1302603,1.0
1300508,1303403,3.0
1300607,1300201,2.0
1300607,1302603,5.0
1300607,1303700,1.0
1300631,1302504,1.0
1300631,1302603,3.0
1300680,1302603,9.0
1300680,1302900,1.0
1300680,1304401,1.0
1300706,1200401,1.0
1300706,1302603,1.0
1300805,1302603,2.0
1300805,1303106,1.0
1300839,1301852,2.0
1300839,1302504,1.0
1300839,1302603,11.0
1300904,1100205,6.0
1300904,1302603,9.0
1300904,1304104,1.0
1300904,2106326,1.0
1300904,2510659,1.0
1301001,1302603,2.0
1301100,1300300,1.0
1301100,1302603,3.0
1301100,1304401,1.0
1301159,1300300,2.0
1301159,1302603,1.0
1301209,1301852,1.0
1301209,1302603,4.0
1301308,1301209,1.0
1301308,1302603,4.0
1301407,1301001,1.0
1301407,1302603,2.0
1301506,1302603,1.0
1301654,1200203,24.0
1301704,1100205,1.0
1301704,1300144,1.0
1301803,1301407,4.0
1301852,1301209,1.0
1301852,1302504,3.0
1301852,1302553,3.0
1301852,1302603,56.0
1301902,1301001,2.0
1301902,1302603,9.0
1301902,1303106,3.0
1301902,1303569,2.0
1301902,1304005,2.0
1301902,1304203,1.0
1301902,1304401,2.0
1301902,1500404,1.0
1301902,3138203,1.0
1301902,4217501,1.0
1301951,1301001,1.0
1301951,1302603,1.0
1302009,1301902,1.0
1302009,1302603,11.0
1302009,1303403,1.0
1302009,1304005,3.0
1302009,1304401,1.0
1302306,1302108,1.0
1302306,1302603,5.0
1302306,1304203,1.0
1302405,1100205,1.0
1302405,1300904,2.0
