CODE,STATE,CITY,LON,LAT,X,Y,POP,GDP
1001,AL,Autauga County,-86.64449,32.536382,533.3829530628419,3599.9478176669627,55221,1379110800
1003,AL,Baldwin County,-87.746067,30.659218,428.522922440082,3392.0730357611874,195121,5330077700
1005,AL,Barbour County,-85.405456,31.87067,650.8329116249469,3527.2089582195918,26932,453112300
1007,AL,Bibb County,-87.127148,33.015893,488.1244895684685,3653.0560253773956,22604,416612100
1009,AL,Blount County,-86.567246,33.977448,539.9745956719734,3759.7398306969385,57710,1184918500
1011,AL,Bullock County,-85.717261,32.101759,621.0319827941998,3552.4350668908633,10678,187717400
1013,AL,Butler County,-86.681969,31.751667,530.1204795719467,3512.954383642107,20354,374308400
1015,AL,Calhoun County,-85.822513,33.771706,609.0313567993261,3737.4665019706385,116648,2493274400
1017,AL,Chambers County,-85.391812,32.917943,650.3772791891689,3643.337214723174,34079,718079200
1019,AL,Cherokee County,-85.654242,34.069515,624.1807947270232,3770.680774996439,26008,567249400
1021,AL,Chilton County,-86.726627,32.854059,525.5793669637457,3635.1412051940692,43819,937681300
1023,AL,Choctaw County,-88.248887,31.991008,382.0203066867262,3540.1202709754584,13395,278013600
1025,AL,Clarke County,-87.818624,31.685521,422.4126442773736,3505.8700795992468,25070,503010300
1027,AL,Clay County,-85.862051,33.267809,605.9829387620917,3681.55429081121,13537,255915000
1029,AL,Cleburne County,-85.516109,33.671981,637.5645642662404,3726.7746465815944,15002,302308600
1031,AL,Coffee County,-85.989201,31.402183,596.091930233479,3474.616976573134,50884,1268826500
1033,AL,Colbert County,-87.801457,34.703112,426.6017039909684,3840.412393560308,54444,1227509400
1035,AL,Conecuh County,-86.992029,31.428292,500.7575377247898,3477.0690519489494,12865,205426600
1037,AL,Coosa County,-86.243482,32.931445,570.726209758563,3643.94081768004,11027,193181200
1039,AL,Covington County,-86.448721,31.243987,552.4943381742598,3456.7733248029926,37886,794727600
1041,AL,Crenshaw County,-86.319222,31.732826,564.4895665686325,3511.0236094403076,13938,286913200
1043,AL,Cullman County,-86.869267,34.131923,512.0542176369946,3776.7912118366658,80965,1690589900
1045,AL,Dale County,-85.609476,31.430654,632.1534953870924,3478.167152284101,49866,1125261800
1047,AL,Dallas County,-87.114356,32.33354,489.23774659190775,3577.4128048587127,42154,750679000
1049,AL,DeKalb County,-85.803992,34.460929,609.8515081404812,3813.913609727495,71068,1308439300
1051,AL,Elmore County,-86.142738,32.597229,580.4449886237151,3606.961380312994,80763,1969055800
1053,AL,Escambia County,-87.168429,31.121747,483.94120050903365,3443.1068863698506,37935,646610200
1055,AL,Etowah County,-86.03442,34.047638,589.1209992876682,3767.858476828736,103766,2127151400
1057,AL,Fayette County,-87.752049,33.732249,430.33199014812834,3732.7228338272175,16896,330225900
1059,AL,Franklin County,-87.842815,34.441988,422.5722763640296,3811.486591638712,31634,588224600
1061,AL,Geneva County,-85.824346,31.090866,612.1321921086762,3440.2663660328153,26815,542309000
1063,AL,Greene County,-87.9642,32.844497,409.76901447381584,3634.459878723988,8697,118372900
